,sku,id,lineId,imageSmallUrl,originalImage,productName,brandName,price,discountPrice,discountPercent,revertPriceText,links,mainColor,masterCategoryName,subCategoryName,exclusiveToKoovs,merchantDetails,isSkuOutOfStock,isProductOutOfStock,hasLooksAvailable,isTrending,url_given,PAGE_URL_COMPLETE
36,1821788,113749,127198,https://product.koovs.com/127198_77bed22b25f34aa8b2e0ff72733a6a45_image1_super_zoom.jpg,https://product.koovs.com/width/height/127198_77bed22b25f34aa8b2e0ff72733a6a45_image1_super_zoom.jpg,Grunge Check Print Shirt,KOOVS,1299,1299,0,Price After Sale,"[{'href': '/koovs-grunge-check-shirt-113749-127198.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shirts'],['Casual Shirts'],False,,False,False,False,False,/koovs-grunge-check-shirt-113749-127198.html,www.koovs.com/koovs-grunge-check-shirt-113749-127198.html
37,1821703,113733,127181,https://product.koovs.com/127181_4f41c114e8704fdaa287b084473d33a4_image1_super_zoom.jpg,https://product.koovs.com/width/height/127181_4f41c114e8704fdaa287b084473d33a4_image1_super_zoom.jpg,Japanese Text Bamboo Print Shirt,KOOVS,1299,1299,0,Price After Sale,"[{'href': '/koovs-bamboo-print-shirt-113733-127181.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shirts'],['Casual Shirts'],False,,False,False,False,False,/koovs-bamboo-print-shirt-113733-127181.html,www.koovs.com/koovs-bamboo-print-shirt-113733-127181.html
38,1921197,134132,150560,https://product.koovs.com/150560_7e3a409bd5aa4ef5b00785348bfd26d9_image1_super_zoom.jpg,https://product.koovs.com/width/height/150560_7e3a409bd5aa4ef5b00785348bfd26d9_image1_super_zoom.jpg,Ditsy Floral Print Spliced Shirt,KOOVS,1499,299,80,Price After Sale,"[{'href': '/koovs-ditzy-spliced-shirt-134132-150560.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shirts'],['Casual Shirts'],False,,False,False,False,False,/koovs-ditzy-spliced-shirt-134132-150560.html,www.koovs.com/koovs-ditzy-spliced-shirt-134132-150560.html
39,1922122,134300,150766,https://product.koovs.com/150766_266c9670b514431897275afb8e9a2859_image1_super_zoom.jpg,https://product.koovs.com/width/height/150766_266c9670b514431897275afb8e9a2859_image1_super_zoom.jpg,Broken Vertical Stripe Print Shirt,TRUE RUG,999,999,0,Price After Sale,"[{'href': '/true-rug-multi-color-stripe-shirt-134300-150766.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shirts'],['Casual Shirts'],True,Koovs Exclusive,False,False,False,False,/true-rug-multi-color-stripe-shirt-134300-150766.html,www.koovs.com/true-rug-multi-color-stripe-shirt-134300-150766.html
40,1918544,133561,149856,https://product.koovs.com/149856_5158c19570aa423bb89cee106793f182_image1_super_zoom.jpg,https://product.koovs.com/width/height/149856_5158c19570aa423bb89cee106793f182_image1_super_zoom.jpg,Newspaper Print Contrast Pocket Shirt,KOOVS,1299,1299,0,Price After Sale,"[{'href': '/koovs-newspaper-print-ss-shirt-133561-149856.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shirts'],['Casual Shirts'],False,,False,False,False,False,/koovs-newspaper-print-ss-shirt-133561-149856.html,www.koovs.com/koovs-newspaper-print-ss-shirt-133561-149856.html
41,1885633,126895,142130,https://product.koovs.com/126895_45d6c3c4f50a0998af7e7fe6c6e5c0a1.jpg,https://product.koovs.com/width/height/126895_45d6c3c4f50a0998af7e7fe6c6e5c0a1.jpg,Vertical Stripe Badge Applique Shirt,KOOVS,1199,1199,0,Price After Sale,"[{'href': '/koovs-cross-collar-shirt-126895-142130.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shirts'],['Casual Shirts'],False,,False,False,False,False,/koovs-cross-collar-shirt-126895-142130.html,www.koovs.com/koovs-cross-collar-shirt-126895-142130.html
42,1857945,120962,135523,https://product.koovs.com/120962_53ecf456c2c9eac5c728cbf37cc5ec76.jpg,https://product.koovs.com/width/height/120962_53ecf456c2c9eac5c728cbf37cc5ec76.jpg,Beach Vibes Print Short Sleeve Shirt,KOOVS,1299,1299,0,Price After Sale,"[{'href': '/koovs-santa-monica-shirt-120962-135523.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shirts'],['Casual Shirts'],False,,False,False,False,False,/koovs-santa-monica-shirt-120962-135523.html,www.koovs.com/koovs-santa-monica-shirt-120962-135523.html
43,1853446,119981,134451,https://product.koovs.com/119981_8b4331414adda47fbf450d6796008304.jpg,https://product.koovs.com/width/height/119981_8b4331414adda47fbf450d6796008304.jpg,Dot Print Contrast Tape Shirt,KOOVS,1399,1399,0,Price After Sale,"[{'href': '/koovs-dotty-print-ls-shirt-119981-134451.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shirts'],['Casual Shirts'],False,,False,False,False,False,/koovs-dotty-print-ls-shirt-119981-134451.html,www.koovs.com/koovs-dotty-print-ls-shirt-119981-134451.html
44,1832084,115704,129473,https://product.koovs.com/115704_66d6e7bf505171dabf4b2bf7b5a22c0d.jpg,https://product.koovs.com/width/height/115704_66d6e7bf505171dabf4b2bf7b5a22c0d.jpg,Madras Check Print Casual Shirt,KOOVS,999,999,0,Price After Sale,"[{'href': '/koovs-large-madras-shirt-115704-129473.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shirts'],['Casual Shirts'],False,,False,False,False,False,/koovs-large-madras-shirt-115704-129473.html,www.koovs.com/koovs-large-madras-shirt-115704-129473.html
45,1828609,115099,128724,https://product.koovs.com/115099_49745ebb7054995d7276e69ee7c3a8d0.jpg,https://product.koovs.com/width/height/115099_49745ebb7054995d7276e69ee7c3a8d0.jpg,Ikkat Print Oversized Shirt,KUNAL RAWAL X KOOVS,2199,2199,0,Price After Sale,"[{'href': '/kunal-rawal-x-koovs-marigold-print-washed-oversized-shacket-115099-128724.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Shirts'],['Casual Shirts'],True,Koovs Exclusive,False,False,False,False,/kunal-rawal-x-koovs-marigold-print-washed-oversized-shacket-115099-128724.html,www.koovs.com/kunal-rawal-x-koovs-marigold-print-washed-oversized-shacket-115099-128724.html
46,1902759,130440,146174,https://product.koovs.com/146174_2fd1f0822f404e789a07817fdd8d89ef_image1_super_zoom.jpg,https://product.koovs.com/width/height/146174_2fd1f0822f404e789a07817fdd8d89ef_image1_super_zoom.jpg,Text Tape Short Sleeve Shirt,TRUE RUG,999,499,50,Price After Sale,"[{'href': '/frayed-stand-up-collar-with-write-up-tape-detailing-on-shoulders-130440-146174.html', 'rel': 'self', 'method': 'GET'}]",['Black'],['Shirts'],['Casual Shirts'],True,Koovs Exclusive,False,False,False,False,/frayed-stand-up-collar-with-write-up-tape-detailing-on-shoulders-130440-146174.html,www.koovs.com/frayed-stand-up-collar-with-write-up-tape-detailing-on-shoulders-130440-146174.html
47,1921787,134239,150684,https://product.koovs.com/150684_ef1717a30e5047549346f318fea001fe_image1_super_zoom.jpg,https://product.koovs.com/width/height/150684_ef1717a30e5047549346f318fea001fe_image1_super_zoom.jpg,Slogan Print Cuban Collar Shirt,Garcon,999,499,50,Price After Sale,"[{'href': '/garcon-cuban-collar-oversized-shirt-134239-150684.html', 'rel': 'self', 'method': 'GET'}]",['White'],['Shirts'],['Casual Shirts'],True,Koovs Exclusive,False,False,False,False,/garcon-cuban-collar-oversized-shirt-134239-150684.html,www.koovs.com/garcon-cuban-collar-oversized-shirt-134239-150684.html
48,450466,105552,117858,https://product.koovs.com/105552_19fe13110e69f31b1c8d0e284de15aff.jpg,https://product.koovs.com/width/height/105552_19fe13110e69f31b1c8d0e284de15aff.jpg,Muscle Fit Smart Shirt,KOOVS,999,999,0,Price After Sale,"[{'href': '/koovs-solid-slim-fit-full-sleeve-shirt-1-105552-117858.html', 'rel': 'self', 'method': 'GET'}]",['Purple'],['Shirts'],['Smart Shirts'],False,,False,False,False,False,/koovs-solid-slim-fit-full-sleeve-shirt-1-105552-117858.html,www.koovs.com/koovs-solid-slim-fit-full-sleeve-shirt-1-105552-117858.html
49,442909,103872,116008,https://product.koovs.com/103872_cf41b99e1e06835bc1548082cd0fd298.jpg,https://product.koovs.com/width/height/103872_cf41b99e1e06835bc1548082cd0fd298.jpg,Tropical Print Slim Shirt,KOOVS,1199,1199,0,Price After Sale,"[{'href': '/koovs-tropical-print-short-sleeve-shirt-103872-116008.html', 'rel': 'self', 'method': 'GET'}]",['Multi'],['Shirts'],['Casual Shirts'],False,,False,False,False,False,/koovs-tropical-print-short-sleeve-shirt-103872-116008.html,www.koovs.com/koovs-tropical-print-short-sleeve-shirt-103872-116008.html
